Time	Channel A	Channel B
(s)	(V)	(V)

-0.98935315	3.07978600	3.05825500
-0.98921981	3.07978600	3.05825500
-0.98908647	3.07978600	3.05825500
-0.98895314	3.07978600	3.05825500
-0.98881980	3.07978600	3.05825500
-0.98868647	3.07978600	3.05825500
-0.98855313	3.07978600	3.05825500
-0.98841979	3.07978600	2.97059500
-0.98828646	3.07978600	2.97059500
-0.98815312	3.07978600	2.97059500
-0.98801979	3.07978600	2.97059500
-0.98788645	3.07978600	2.97059500
-0.98775311	3.07978600	2.97059500
-0.98761978	3.07978600	2.88324300
-0.98748644	3.07978600	2.97059500
-0.98735311	3.07978600	2.88324300
-0.98721977	3.07978600	2.97059500
-0.98708643	3.07978600	2.97059500
-0.98695310	3.07978600	2.97059500
-0.98681976	3.07978600	2.97059500
-0.98668643	3.07978600	2.97059500
-0.98655309	3.07978600	2.97059500
-0.98641975	3.07978600	2.97059500
-0.98628642	3.07978600	2.97059500
-0.98615308	3.07978600	2.97059500
-0.98601975	3.07978600	2.97059500
-0.98588641	3.07978600	2.97059500
-0.98575307	3.07978600	2.97059500
-0.98561974	3.07978600	2.88324300
-0.98548640	3.07978600	2.88324300
-0.98535307	3.07978600	2.88324300
-0.98521973	3.07978600	2.88324300
-0.98508639	3.07978600	2.88324300
-0.98495306	3.07978600	2.88324300
-0.98481972	3.07978600	2.88324300
-0.98468639	3.07978600	2.88324300
-0.98455305	3.07978600	2.88324300
-0.98441971	3.07978600	2.88324300
-0.98428638	3.07978600	2.88324300
-0.98415304	3.07978600	2.97059500
-0.98401971	3.07978600	2.97059500
-0.98388637	3.07978600	2.97059500
-0.98375303	3.07978600	3.05825500
-0.98361970	3.07978600	2.97059500
-0.98348636	3.07978600	3.05825500
-0.98335303	3.07978600	3.05825500
-0.98321969	3.07978600	3.05825500
-0.98308635	3.07978600	2.97059500
-0.98295302	3.07978600	3.05825500
-0.98281968	3.07978600	2.97059500
-0.98268635	3.07978600	2.97059500
-0.98255301	3.07978600	2.97059500
-0.98241967	3.07978600	2.97059500
-0.98228634	3.07978600	2.88324300
-0.98215300	3.07978600	2.97059500
-0.98201967	3.07978600	2.88324300
-0.98188633	3.07978600	2.88324300
-0.98175299	3.07978600	2.88324300
-0.98161966	3.07978600	2.88324300
-0.98148632	3.07978600	2.88324300
-0.98135299	3.07978600	2.88324300
-0.98121965	3.07978600	2.88324300
-0.98108631	3.07978600	2.88324300
-0.98095298	3.07978600	2.88324300
-0.98081964	3.07978600	2.97059500
-0.98068631	3.07978600	2.88324300
-0.98055297	3.07978600	2.88324300
-0.98041963	3.07978600	2.88324300
-0.98028630	3.07978600	2.88324300
-0.98015296	3.07978600	2.88324300
-0.98001963	3.07978600	2.88324300
-0.97988629	3.07978600	2.88324300
-0.97975295	3.07978600	2.88324300
-0.97961962	3.07978600	2.79589100
-0.97948628	3.07978600	2.79589100
-0.97935295	3.07978600	2.79589100
-0.97921961	3.07978600	2.79589100
-0.97908627	3.07978600	2.79589100
-0.97895294	3.07978600	2.79589100
-0.97881960	3.07978600	2.79589100
-0.97868627	3.07978600	2.79589100
-0.97855293	3.07978600	2.79589100
-0.97841959	3.07978600	2.79589100
