Absorbance:209		
188.012	-0.09	
188.47	-0.09	
188.927	-0.09	
189.385	0.38	
189.842	0.21	
190.3	-0	
190.757	-0.12	
191.215	0.35	
191.672	0.29	
192.129	-0.16	
192.586	-0	
193.044	-0	
193.501	-0.18	
193.958	0.74	
194.415	-0.24	
194.872	0.38	
195.329	-0.85	
195.787	-0	
196.244	0.98	
196.7	-0.24	
197.157	-0.63	
197.614	-0	
198.071	-0.53	
198.528	-0	
198.985	0.53	
199.441	0.47	
199.898	0.67	
200.355	0.3	
200.812	0.83	
201.268	0.53	
201.725	0.68	
202.181	0.46	
202.638	0.79	
203.094	0.46	
203.551	0.48	
204.007	0.27	
204.463	0.38	
204.92	0.37	
205.376	0.71	
205.832	0.22	
206.288	0.46	
206.744	0.43	
207.201	0.36	
207.657	0.42	
208.113	0.16	
208.569	0.4	
209.025	0.32	
209.481	0.17	
209.937	0.47	
210.392	0.66	
210.848	1.02	
211.304	1.11	
211.76	1.01	
212.215	0.67	
212.671	0.64	
213.127	0.74	
213.582	0.49	
214.038	0.99	
214.494	1.03	
214.949	0.82	
215.404	1.36	
215.86	0.96	
216.315	1.28	
216.771	1.32	
217.226	1.15	
217.681	0.99	
218.136	1.37	
218.592	1.28	
219.047	1.45	
219.502	1.56	
219.957	1.67	
220.412	1.42	
220.867	1.9	
221.322	2.01	
221.777	1.88	
222.232	1.73	
222.687	2.02	
223.142	1.91	
223.596	-0	
224.051	2.05	
224.506	1.85	
224.96	1.97	
225.415	2.07	
225.87	2.05	
226.324	-0	
226.779	2.03	
227.233	2.24	
227.688	2.28	
228.142	2.71	
228.597	2.06	
229.051	-0	
229.505	2.24	
229.959	2.01	
230.414	2.97	
230.868	2.05	
231.322	2.04	
231.776	3.17	
232.23	2.22	
232.684	2.12	
233.138	2.07	
233.592	2.29	
234.046	2.25	
234.5	2.24	
234.954	-0	
235.408	2.51	
235.861	-0	
236.315	2.36	
236.769	2.14	
237.222	2.49	
237.676	2.2	
238.13	-0	
238.583	2.17	
239.037	2.5	
239.49	2.09	
239.944	2.43	
240.397	2.22	
240.85	2.26	
241.304	2.16	
241.757	2.29	
242.21	2.17	
242.663	2.7	
243.117	-0	
243.57	2.01	
244.023	2.47	
244.476	2.78	
244.929	2.53	
245.382	2.08	
245.835	2.2	
246.288	2.49	
246.741	2.22	
247.193	2.75	
247.646	2.58	
248.099	3.07	
248.552	2.36	
249.004	2.36	
249.457	2.22	
249.909	2.46	
250.362	2.03	
250.814	2.37	
251.267	2.39	
251.719	2.37	
252.172	2.44	
252.624	2.17	
253.076	2.45	
253.529	2.54	
253.981	2.56	
254.433	2.15	
254.885	2.34	
255.337	3.85	
255.79	2.15	
256.242	2.47	
256.694	2.34	
257.146	2.18	
257.598	2.92	
258.049	2.92	
258.501	2.42	
258.953	2.38	
259.405	2.34	
259.857	2.35	
260.308	2.26	
260.76	2.27	
261.212	2.68	
261.663	2.63	
262.115	2.49	
262.566	2.58	
263.018	2.29	
263.469	2.26	
263.92	3.45	
264.372	2.51	
264.823	2.38	
265.274	2.37	
265.726	2.21	
266.177	2.22	
266.628	2.57	
267.079	2.46	
267.53	2.47	
267.981	3.7	
268.432	3.13	
268.883	2.38	
269.334	3.02	
269.785	2.24	
270.236	2.35	
270.687	2.4	
271.137	2.22	
271.588	2.21	
272.039	3.02	
272.489	2.42	
272.94	2.53	
273.391	2.13	
273.841	3.02	
274.292	2.42	
274.742	2.12	
275.192	2.68	
275.643	2.51	
276.093	2.43	
276.543	2.42	
276.994	2.48	
277.444	2.86	
277.894	2.3	
278.344	2.33	
278.794	2.33	
279.244	2.54	
279.694	2.21	
280.144	2.17	
280.594	2.46	
281.044	2.42	
281.494	2.35	
281.944	2.14	
282.394	2.55	
282.843	2.24	
283.293	2.38	
283.743	2.25	
284.192	2.17	
284.642	2.34	
285.091	2.36	
285.541	2.21	
285.99	2.27	
286.44	2.57	
286.889	2.09	
287.338	2.53	
287.788	2.26	
288.237	2.23	
288.686	2.29	
289.135	2.12	
289.584	2.17	
290.034	2.51	
290.483	2.07	
290.932	2.29	
291.381	2.29	
291.83	2.18	
292.278	2.1	
292.727	2.35	
293.176	2.14	
293.625	2.11	
294.074	2.39	
294.522	2.3	
294.971	2.23	
295.42	2.21	
295.868	2.11	
296.317	2.33	
296.765	1.99	
297.214	2.04	
297.662	2.03	
298.11	2.07	
298.559	1.94	
299.007	1.9	
299.455	1.83	
299.903	1.89	
300.352	1.73	
300.8	1.69	
301.248	1.72	
301.696	1.6	
302.144	1.53	
302.592	1.5	
303.04	1.46	
303.488	1.38	
303.936	1.3	
304.383	1.25	
304.831	1.19	
305.279	1.15	
305.727	1.11	
306.174	1.04	
306.622	0.97	
307.069	0.93	
307.517	0.9	
307.964	0.82	
308.412	0.77	
308.859	0.75	
309.306	0.7	
309.754	0.67	
310.201	0.61	
310.648	0.59	
311.096	0.56	
311.543	0.52	
311.99	0.49	
312.437	0.44	
312.884	0.41	
313.331	0.39	
313.778	0.35	
314.225	0.34	
314.672	0.31	
315.118	0.29	
315.565	0.28	
316.012	0.24	
316.459	0.21	
316.905	0.2	
317.352	0.18	
317.798	0.16	
318.245	0.15	
318.691	0.12	
319.138	0.12	
319.584	0.09	
320.031	0.09	
320.477	0.06	
